ticker,source,category,source_weight,method
VMED,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
VOD,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
VRSK,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
VRSN,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
VSNT,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
WBA,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
WBD,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
WCRX,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
WDAY,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
WDC,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
WFM,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
WFMI,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
WMT,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
WTW,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
WYNN,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
XEL,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
XLNX,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
XMSR,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
XRAY,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
YHOO,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
ZM,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
ZS,QQQ,core_growth,4.0,wikipedia_nasdaq100_fallback
MMM,SPY,large_cap_core,3.0,wikipedia_sp500
AOS,SPY,large_cap_core,3.0,wikipedia_sp500
ABT,SPY,large_cap_core,3.0,wikipedia_sp500
ABBV,SPY,large_cap_core,3.0,wikipedia_sp500
ACN,SPY,large_cap_core,3.0,wikipedia_sp500
ADBE,SPY,large_cap_core,3.0,wikipedia_sp500
AMD,SPY,large_cap_core,3.0,wikipedia_sp500
AES,SPY,large_cap_core,3.0,wikipedia_sp500
AFL,SPY,large_cap_core,3.0,wikipedia_sp500
A,SPY,large_cap_core,3.0,wikipedia_sp500
APD,SPY,large_cap_core,3.0,wikipedia_sp500
ABNB,SPY,large_cap_core,3.0,wikipedia_sp500
AKAM,SPY,large_cap_core,3.0,wikipedia_sp500
ALB,SPY,large_cap_core,3.0,wikipedia_sp500
ARE,SPY,large_cap_core,3.0,wikipedia_sp500
ALGN,SPY,large_cap_core,3.0,wikipedia_sp500
ALLE,SPY,large_cap_core,3.0,wikipedia_sp500
LNT,SPY,large_cap_core,3.0,wikipedia_sp500
ALL,SPY,large_cap_core,3.0,wikipedia_sp500
GOOGL,SPY,large_cap_core,3.0,wikipedia_sp500
GOOG,SPY,large_cap_core,3.0,wikipedia_sp500
